,0,1,2,3,4,5
1816,M T G Elliott,28/09/1971,Australia,21,1,
1817,A M Ellis,24/03/1982,New Zealand,,15,5
1818,N Ellis,22/09/1994,Australia,,8,20
1819,R M Ellison,21/09/1959,England,11,14,
1820,S Elworthy,23/02/1965,South Africa,4,39,
1821,L Embuldeniya,26/10/1996,Sri Lanka,17,,
1822,J E Emburey,20/08/1952,England,64,61,
1823,P A Emery,25/06/1964,Australia,1,1,
1824,R W G Emery,28/03/1915,New Zealand,2,,
1825,S H Emery,16/10/1885,Australia,4,,
1826,L Emilio,11/04/2001,Mozambique,,,24
1827,G M Emmett,02/12/1912,England,1,,
1828,T Emmett,03/09/1841,England,7,,
1829,C Emmott,29/01/1979,Chile,,,2
1830,Emran Shahbakhsh,23/07/1992,Iran,,,3
1831,R R Emrit,08/03/1981,West Indies,,2,4
1832,Enamul Haque,27/02/1966,Bangladesh,10,29,
1833,Enamul Haque,05/12/1986,Bangladesh,15,10,
1834,W R Endean,31/05/1924,South Africa,28,,
1835,S A Engelbrecht,15/09/1988,Netherlands,,12,12
1836,F M Engineer,25/02/1938,India,46,5,
1837,M M English,02/05/1995,Scotland,,1,
1838,Enkh-Otgonbayar,18/12/2005,Mongolia,,,9
1839,Enkhtuvshin Munkhbat,25/12/2003,Mongolia,,,2
1840,G D R Eranga,16/06/1985,Canada,,,9
1841,R M S Eranga,23/06/1986,Sri Lanka,19,19,3
1842,M G Erasmus,11/04/1995,Namibia,,52,65
1843,Eric Niyomugabo,07/02/1995,Rwanda,,,48
1844,E Ernest,14/11/2003,Sierra Leone,,,10
1845,C R Ervine,19/08/1985,Zimbabwe,23,125,71
1846,S M Ervine,06/12/1982,Zimbabwe,5,42,
1847,S J Erwee,10/11/1989,South Africa,10,,
1848,R Escobar,11/10/1995,Argentina,,,17
1849,Eshan Malinga,04/02/2001,Sri Lanka,,3,
1850,J Esmeijer,28/05/1972,Netherlands,,6,
1851,J Essex,27/06/1994,St Helena,,,2
1852,E A Essop-Adam,16/11/1968,Zimbabwe,,1,
1853,A C Evans,12/01/1989,Scotland,,42,35
1854,A J Evans,01/05/1889,England,1,,
1855,B Evans,24/03/1997,Zimbabwe,1,15,8
1856,C N Evans,29/11/1969,Zimbabwe,3,53,
1857,E Evans,26/03/1849,Australia,6,,
1858,J Evans,31/08/1992,Israel,,,9
1859,T G Evans,18/08/1920,England,91,,
1860,L Evile,11/11/2002,Samoa,,,4
1861,G M Ewing,21/10/1981,Zimbabwe,3,7,
1862,L K W Ezechiel,27/09/2007,Ivory Coast,,,4
1863,No. of Records = 84,,,,,
1864,,,,Detailed Profiles & Statistics,,
1865,Name,Born,Country (Current),Tests,ODIs,T20s
1866,M T M Faatea,30/08/2003,Samoa,,,3
1867,A E Fagg,18/02/1915,England,5,,
1868,Fahad Alhashmi,31/07/1982,United Arab Emirates,,5,
1869,Fahad Ali,12/05/1988,Brazil,,,3
1870,Fahad Nawaz,15/12/2000,United Arab Emirates,,2,1
1871,Fahad Tariq,13/01/1990,United Arab Emirates,,,6
1872,Fahad Usman,02/10/1976,United Arab Emirates,,2,
1873,M Faheem,18/10/1992,Thailand,,,7
1874,Faheem Ashraf,16/01/1994,Pakistan,17,34,48
1875,Faheem Nazir,19/07/1983,Switzerland,,,18
1876,Fahim Bhatti,15/06/1987,Belgium,,,14
1877,Fahim Muntasir,01/11/1980,Bangladesh,3,3,
1878,N H Fairbrother,09/09/1963,England,10,75,
1879,A G Fairfax,16/01/1906,Australia,10,,
1880,Faisal Akram,20/08/2003,Pakistan,,3,
1881,Faisal Athar,15/10/1975,Pakistan,,1,
1882,Faisal Hossain,26/10/1978,Bangladesh,1,6,
1883,Faisal Iqbal,30/12/1981,Pakistan,26,18,
1884,Faisal Javed,20/02/1975,Qatar,,,15
1885,Faisal Khaliq,30/07/1994,Belgium,,,8
1886,Faisal Khan,02/11/1996,Saudi Arabia,,,49
1887,Faisal Mehmood,18/08/1987,Belgium,,,5
1888,Faisal Mubashir,29/09/1986,Germany,,,23
1889,Faizalmahmed Patel,06/08/1983,Eswatini,,,2
1890,Faizan Asif,21/12/1992,United Arab Emirates,,,6
1891,Faizan Mumtaz,05/08/1990,Norway,,,3
1892,Faizan Patel,15/11/1993,Panama,,,6
1893,Fakhar Zaman,10/04/1990,Pakistan,3,82,92
1894,Fakhrul Mohon,08/10/1988,Portugal,,,8
1895,A Faletar,06/02/2006,Croatia,,,4
1896,D Faletar,29/01/2008,Croatia,,,4
1897,F L Fane,27/04/1875,England,14,,
1898,Fanyan Mughal,03/10/1986,Malta,,,24
1899,Faran Afzal,19/05/1974,Spain,,,9
1900,M Faraz Akram,03/10/1993,Zimbabwe,,3,10
1901,Fareed Ahmad,10/08/1994,Afghanistan,1,19,32
1902,Fareed Shius,27/07/2003,Maldives,,,2
1903,Farhad Reza,16/06/1986,Bangladesh,,34,13
1904,Farhan Adil,25/09/1977,Pakistan,1,,
1905,Farhan Ahmed,31/10/1988,United Arab Emirates,,,3
1906,A S Faridi,07/09/1983,Canada,,3,
1907,K Farnes,08/07/1911,England,15,,
1908,Farooq Hamid,03/03/1945,Pakistan,1,,
1909,I M Farrell,29/09/1992,Gibraltar,,,1
1910,W S Farrer,08/12/1936,South Africa,6,,
1911,W Farrimond,23/05/1903,England,4,,
1912,Farrukh Zaman,02/04/1956,Pakistan,1,,
1913,Faruk Ahmed,24/07/1966,Bangladesh,,7,
1914,G Fatouros,21/07/1997,Greece,,,4
1915,G A Faulkner,17/12/1881,South Africa,25,,
1916,J P Faulkner,29/04/1990,Australia,1,69,24
1917,L E Favell,06/10/1929,Australia,19,,
1918,Fawad Ahmed,05/02/1982,Australia,,3,2
1919,Fawad Alam,08/10/1985,Pakistan,19,38,24
1920,Fayaz Khan,15/03/1997,Germany,,,13
1921,Fayaz Mohammad,29/12/1975,Bulgaria,,,5
1922,Fayyaz Ahmed,12/05/1983,United Arab Emirates,,3,1
1923,Fayyaz Butt,17/08/1993,Oman,,30,47
1924,F Y Fazal,07/09/1985,India,,1,
1925,Fazal Mahmood,18/02/1927,Pakistan,34,,
1926,Fazal Rahman Niazai,01/02/1990,Afghanistan,,,1
1927,Fazalhaq Farooqi,22/09/2000,Afghanistan,,39,43
1928,Fazil Muhammad,13/03/1991,South Korea,,,5
1929,Fazil Rahman,01/01/1997,Malta,,,6
1930,Fazle Mahmud,30/12/1987,Bangladesh,,2,
1931,Fazl-E-Akbar,20/10/1980,Pakistan,5,2,
1932,J P Fellows-Smith,03/02/1932,South Africa,4,,
1933,P G H Fender,22/08/1892,England,13,,
1934,H Fennell,02/02/1988,Argentina,,,28
1935,L B Ferbrache,18/03/1988,Guernsey,,,30
1936,L Fereti,21/10/1997,Samoa,,,3
1937,A Ferguson,19/07/1978,Argentina,,,26
1938,C J Ferguson,21/11/1984,Australia,1,30,3
1939,L H Ferguson,13/06/1991,New Zealand,1,65,43
1940,W Ferguson,14/12/1917,West Indies,8,,
1941,M P Fernandes,12/08/1897,West Indies,2,,
1942,N Fernandes,03/01/1977,United Arab Emirates,,1,
1943,A M Fernando,31/07/1997,Sri Lanka,21,18,7
1944,B Fernando,12/07/1995,Sri Lanka,,4,20
1945,B O P Fernando,15/04/1992,Sri Lanka,21,8,7
1946,C R D Fernando,19/07/1979,Sri Lanka,40,147,18
1947,E R Fernando,22/02/1944,Sri Lanka,,3,
1948,E R N Fernando,19/12/1955,Sri Lanka,5,7,
1949,K  H Fernando,14/10/1979,Sri Lanka,2,7,
1950,K A D Fernando,10/05/1979,Sri Lanka,2,1,
1951,M N K Fernando,13/10/1999,Sri Lanka,,5,1
1952,Madupa Fernando,13/07/1991,Italy,,,6
1953,P Fernando,25/03/2003,Italy,,,2
1954,T C B Fernando,22/08/1980,Sri Lanka,9,17,
1955,T L Fernando,27/12/1962,Sri Lanka,,1,
1956,U N K Fernando,10/03/1970,Sri Lanka,,2,
1957,V Fernando,18/09/1991,Sri Lanka,27,8,1
1958,W I A Fernando,05/04/1998,Sri Lanka,,50,37
1959,N J Ferraby,31/05/1983,Jersey,,,18
1960,K J Ferrary,08/06/1989,Gibraltar,,,9
1961,D Ferreira,21/07/1998,South Africa,,,6
1962,N Ferreira,03/06/1979,Zimbabwe,1,,
1963,J J Ferris,21/05/1867,England,9,,
1964,Fiaz Ahmad,05/03/1986,Kuwait,,,3
1965,Fiaz Ahmed,20/12/1987,Bahrain,,,20
1966,C G Fichardt,20/03/1870,South Africa,2,,
1967,Fida Hussain,10/06/1988,Italy,,,2
1968,A Fielder,19/07/1877,England,6,,
1969,J Figy John,25/08/2001,United Arab Emirates,,2,
1970,T Filer,04/08/1981,Estonia,,,5
1971,D Finau,01/05/2004,Samoa,,,12
1972,A J Finch,17/11/1986,Australia,5,146,103
1973,S E Findlay,03/03/1984,West Indies,,9,2
1974,T M Findlay,19/10/1943,West Indies,10,,
1975,J H Fingleton,28/04/1908,Australia,18,,
1976,C E Finlason,19/02/1860,South Africa,1,,
1977,S T Finn,04/04/1989,England,36,69,21
1978,Firas Hussain,23/06/1998,Bulgaria,,,7
1979,F E Fisher,28/07/1924,New Zealand,1,,
1980,M D Fisher,09/11/1997,England,1,,
1981,L B Fishlock,02/01/1907,England,4,,
1982,B Fitchet,08/11/1992,Guernsey,,,14
1983,Fitri Sham,26/02/1994,Malaysia,,,45
1984,J A Fitzgerald,10/04/1999,Gibraltar,,,34
1985,R Flannigan,30/06/1988,Scotland,,1,4
1986,J A Flavell,15/05/1929,England,4,,
1987,L O Fleetwood-Smith,30/03/1910,Australia,10,,
1988,A K Fleming,21/08/1997,Japan,,,3
1989,D W Fleming,24/04/1970,Australia,20,88,
1990,M V Fleming,12/12/1964,England,,11,
1991,S P Fleming,01/04/1973,New Zealand,111,280,5
1992,A D S Fletcher,28/11/1987,West Indies,,25,60
1993,D A G Fletcher,27/09/1948,Zimbabwe,,6,
1994,K Fletcher,26/12/1989,Switzerland,,,16
1995,K W R Fletcher,20/05/1944,England,59,24,
1996,A Flintoff,06/12/1977,England,79,141,7
1997,C E Floquet,03/11/1884,South Africa,1,,
1998,P Florin,12/02/1979,Romania,,,16
1999,A Flower,28/04/1968,Zimbabwe,63,213,
2000,G W Flower,20/12/1970,Zimbabwe,67,221,
2001,K K Flowers,27/02/1997,Belize,,,3
2002,W Flowers,07/12/1856,England,8,,
2003,C Floyd,07/08/1996,Netherlands,,10,4
2004,D R Flynn,16/04/1985,New Zealand,24,20,5
2005,B T Foakes,15/02/1993,England,25,1,1
2006,A D Fofana,04/11/1997,Mali,,,3
2007,C R Foggo,07/05/1982,Bermuda,,4,3
2008,H Foley,28/01/1906,New Zealand,1,,
2009,M Fontaine,,Hungary,,,11
2010,C Forbes,21/07/1988,Eswatini,,,15
2011,F G J Ford,14/12/1866,England,5,,
2012,M W Forde,29/04/2002,West Indies,,8,6
2013,P J Forrest,15/11/1985,Australia,,15,
2014,C Forshaw,07/04/2007,Guernsey,,,8
2015,B C Fortuin,21/10/1994,South Africa,,13,25
2016,C Fortuin,18/08/1995,South Africa,2,,
2017,F R Foster,31/01/1889,England,11,,
2018,J S Foster,15/04/1980,England,7,11,5
2019,M L C Foster,09/05/1943,West Indies,14,2,
2020,N A Foster,06/05/1962,England,29,48,
2021,R E Foster,16/04/1878,England,8,,
2022,S Foster,11/05/1989,Cayman Islands,,,8
2023,A J Fothergill,26/08/1854,England,2,,
2024,S Fouche,14/02/2000,Namibia,,9,3
2025,Z G Foulkes,05/06/2002,New Zealand,,1,7
2026,M J Fourie,23/07/1979,Ireland,,7,
2027,O Fournier,24/01/1982,Costa Rica,,,2
2028,G Fowler,20/04/1957,England,21,26,
2029,R Fox,03/12/1992,Bahamas,,,12
2030,D Foxcroft,20/04/1998,New Zealand,,1,5
2031,B C Francis,18/02/1948,Australia,3,,
2032,G N Francis,11/12/1897,West Indies,10,,
2033,H H Francis,26/05/1868,South Africa,2,,
2034,R Francis,02/06/2000,St Helena,,,9
2035,C M Francois,20/06/1897,South Africa,5,,
2036,C N Frank,27/01/1891,South Africa,3,,
2037,W H B Frank,23/11/1872,South Africa,1,,
2038,J E C Franklin,07/11/1980,New Zealand,31,110,38
2039,S Franklin,28/12/1993,Switzerland,,,2
2040,T J Franklin,18/03/1962,New Zealand,21,3,
2041,P J Franks,03/02/1979,England,,1,
2042,Frasat Ali,31/07/1949,East Africa,,3,
2043,A R C Fraser,08/08/1965,England,46,42,
2044,J Fraser-Mcgurk,11/04/2002,Australia,,5,7
2045,T S Fray,30/06/1991,Bermuda,,,29
2046,M C Frederick,06/05/1927,West Indies,1,,
2047,R C Fredericks,11/11/1942,West Indies,59,12,
2048,A P Freeman,17/05/1888,England,12,,
2049,D L Freeman,08/09/1914,New Zealand,2,,
2050,E W Freeman,13/07/1944,Australia,11,,
2051,F W Freer,04/12/1915,Australia,1,,
2052,A N French,01/12/1980,Hong Kong,,2,
2053,B N French,13/08/1959,England,16,13,
2054,J D Freyone,07/05/1994,Gibraltar,,,14
2055,T J Friend,07/01/1981,Zimbabwe,13,51,
2056,E Frimpong,23/02/2009,Ghana,,,4
2057,E Frosler,08/09/2002,South Africa,,,
2058,M Fru,12/03/1997,Cameroon,,,4
2059,C Fry,05/03/1998,Luxembourg,,,3
2060,C B Fry,25/04/1872,England,26,,
2061,J N Frylinck,06/04/1994,Namibia,,38,65
2062,R Frylinck,27/09/1984,South Africa,,,3
2063,K Fubler,29/03/1992,Bermuda,,,7
2064,A B Fudadin,01/08/1985,West Indies,3,,
2065,E R H Fuller,02/08/1931,South Africa,7,,
2066,R L Fuller,30/01/1913,West Indies,1,,
2067,G M Fullerton,08/12/1922,South Africa,7,,
2068,P G Fulton,01/02/1979,New Zealand,23,49,12
2069,K J Funston,03/12/1925,South Africa,18,,
2070,H A Furlonge,19/06/1934,West Indies,3,,
2071,No. of Records = 205,,,,,
2072,,,,Detailed Profiles & Statistics,,
2073,Name,Born,Country (Current),Tests,ODIs,T20s
2074,L M Gabriel,28/08/1997,Lesotho,,,17
2075,R S Gabriel,04/06/1952,West Indies,,11,
2076,S T Gabriel,28/04/1988,West Indies,59,25,2
2077,C V Gadkari,03/02/1928,India,6,,
2078,A D Gaekwad,23/09/1952,India,40,15,
2079,D K Gaekwad,27/10/1928,India,11,,
2080,H G Gaekwad,29/08/1923,India,1,,
2081,Gagandeep Singh,21/11/1993,Bulgaria,,,10
2082,Gagandeep Singh,19/02/1994,Ghana,,,2
2083,R D Gaikwad,31/01/1997,India,,6,23
2084,A A Gajic,04/06/1998,Serbia,,,18
2085,S Gajjar,17/05/1990,Czech Republic,,,3
2086,G C Galanis,09/06/2004,Greece,,,14
2087,R Galgalikar,30/09/1987,Mexico,,,2
2088,I S Gallage,22/11/1975,Sri Lanka,1,3,
2089,P F Gallagher,18/06/1984,Finland,,,22
2090,J E R Gallian,25/06/1971,England,3,,
2091,N Gallichan,03/06/1906,New Zealand,1,,
2092,J Gallimore,09/12/2004,Bahamas,,,2
2093,J C Gamage,17/04/1964,Sri Lanka,,4,
2094,P L S Gamage,05/04/1988,Sri Lanka,5,9,
2095,K Gamantika,,Indonesia,,,44
2096,G Gambhir,14/10/1981,India,58,147,37
2097,D Gamsy,17/02/1940,South Africa,2,,
2098,G Ganbold,15/06/2004,Mongolia,,,13
2099,A R Gandhi,05/05/2000,Kenya,,,3
2100,D J Gandhi,06/09/1971,India,4,3,
2101,A Gandotra,24/11/1948,India,2,,
2102,W C A Ganegama,29/03/1981,Sri Lanka,,4,
2103,V Ganesan,21/05/1985,Germany,,,47
2104,D Ganesh,18/08/1994,Costa Rica,,,5
2105,D Ganesh,30/06/1973,India,4,1,
2106,D Ganga,14/01/1979,West Indies,48,35,1
2107,S C Ganguly,08/07/1972,India,113,311,
2108,C J Gannon,23/01/1989,United States,,,4
2109,J B Gannon,08/02/1947,Australia,3,,
2110,A G Ganteaume,22/01/1921,West Indies,1,,
2111,S Gantulga,19/12/2007,Mongolia,,,6
2112,L R Gaonkar,20/04/1988,Panama,,,4
2113,H J W Gardiner,04/01/1991,Scotland,,11,
2114,J W W Gardner,23/12/2000,Papua New Guinea,,,6
2115,J Garner,16/12/1952,West Indies,58,98,
2116,M D Garratt,28/01/1985,Gibraltar,,,8
2117,T W Garrett,26/07/1858,Australia,19,,
2118,L V Garrick,11/11/1976,West Indies,1,3,
2119,G H S Garton,15/04/1997,England,,,1
2120,T N Garwe,27/06/1986,Zimbabwe,,1,
2121,B B M Gaskin,21/03/1908,West Indies,2,,
2122,A Gasteratos,16/07/1997,Greece,,,6
2123,S Gasteratos,13/12/1994,Greece,,,4
2124,M W Gatting,06/06/1957,England,79,92,
2125,S P Gauchan,22/04/1984,Nepal,,1,9
2126,R A Gaunt,26/02/1934,Australia,3,,
2127,Gaurav Singhdeo,20/02/1986,Costa Rica,,,5
2128,R S Gavaskar,20/02/1976,India,,11,
2129,S M Gavaskar,10/07/1949,India,125,108,
2130,A Gavde,27/07/1987,Cayman Islands,,,1
2131,W T Gavera,18/08/1988,Papua New Guinea,,4,6
2132,Gavin Singh,15/12/1987,Suriname,,,7
2133,L H Gay,24/03/1871,England,1,,
2134,C H Gayle,21/09/1979,West Indies,103,301,79
2135,Gazi Ashraf,29/12/1960,Bangladesh,,7,
2136,R Gaznavi,15/10/1992,Singapore,,,24
2137,G Geary,09/07/1893,England,14,,
2138,Gede Prastama,30/10/1995,Indonesia,,,4
2139,S G Gedye,02/05/1929,New Zealand,4,,
2140,B Geeves,13/06/1982,Australia,,2,1
2141,D R A Gehrs,29/11/1880,Australia,6,,
2142,B George,11/03/1998,Malta,,,34
2143,P R George,16/10/1986,Australia,1,,
2144,H S Gericke,17/08/1979,Malta,,,21
2145,L K Germon,04/11/1968,New Zealand,12,37,
2146,Gershon Yusuf,,Nigeria,,,1
2147,S C Getkate,02/10/1991,Ireland,,4,30
2148,J Ghadiyali,21/12/1996,Eswatini,,,6
2149,R S Ghai,12/06/1960,India,,6,
2150,G K Ghalley,,Bhutan,,,21
2151,L Gharasim,06/09/2003,Romania,,,8
2152,K D Ghavri,28/02/1951,India,39,19,
2153,M E Z Ghazali,15/06/1924,Pakistan,2,,
2154,A M Ghazanfar,15/07/2007,Afghanistan,1,11,
2155,P Gheewala,08/10/1995,Estonia,,,9
2156,M Gherasim,30/09/2006,Romania,,,12
2157,S Ghimire,28/03/1999,Portugal,,,12
2158,Gholam Nousher,06/10/1964,Bangladesh,,9,
2159,O Gholami,27/06/1995,Sweden,,,5
2160,J M Ghorpade,02/10/1930,India,8,,
2161,Ghulam Abbas,01/05/1947,Pakistan,1,,
2162,Ghulam Abbas Butt,27/11/1982,Finland,,,8
2163,Ghulam Ahmadi,26/04/1997,Germany,,,44
2164,Ghulam Ahmed,04/07/1922,India,22,,
2165,Ghulam Ali,08/09/1966,Pakistan,,3,
2166,Ghulam Shabber,12/12/1985,United Arab Emirates,,23,17
2167,P A Gibb,11/07/1913,England,8,,
2168,T Gibbons,10/12/1985,Bermuda,,2,
2169,G L Gibbs,27/12/1925,West Indies,1,,
2170,H H Gibbs,23/02/1974,South Africa,90,248,23
2171,L R Gibbs,29/09/1934,West Indies,79,3,
2172,O D Gibson,16/03/1969,West Indies,2,15,
2173,E S H Giddins,20/07/1971,England,4,,
2174,G Giffen,27/03/1859,Australia,31,,
2175,W F Giffen,20/09/1861,Australia,3,,
2176,N Gifford,30/03/1940,England,15,2,
2177,D R Gilbert,29/12/1960,Australia,9,14,
2178,A C Gilchrist,14/11/1971,Australia,96,287,13
2179,R Gilchrist,28/06/1934,West Indies,13,,
2180,A F Giles,19/03/1973,England,54,62,
2181,K Gilham,12/03/1989,Czech Republic,,,7
2182,A Gill,02/09/1977,South Korea,,,3
2183,S Gill,04/12/1996,Kenya,,,6
2184,S K S Gill,06/01/1985,Luxembourg,,,29
2185,J N Gillespie,19/04/1975,Australia,71,97,1
2186,M R Gillespie,17/10/1979,New Zealand,5,32,11
2187,P G Gillespie,11/05/1974,Ireland,,5,
2188,S R Gillespie,02/03/1957,New Zealand,1,19,
2189,A E R Gilligan,29/06/1896,England,11,,
2190,A H H Gilligan,29/06/1896,England,4,,
2191,G J Gilmour,26/06/1951,Australia,15,5,
2192,D Gim,04/11/1995,Nigeria,,,17
2193,H Gimblett,19/10/1914,England,3,,
2194,N T Gireesh,12/12/1992,Cambodia,,,6
2195,G Gladstone,14/01/1901,West Indies,1,,
2196,C Gladwin,03/04/1916,England,8,,
2197,J W Gleeson,14/03/1938,Australia,29,,
2198,R A Gleeson,06/12/1873,South Africa,1,,
2199,R J Gleeson,02/12/1987,England,,,6
2200,K Glennistor,16/06/2004,South Africa,,,
2201,B D Glover,03/04/1997,Netherlands,,9,25
2202,G K Glover,13/05/1870,South Africa,1,,
2203,M K Gnanasekaram,03/12/1985,Switzerland,,,7
2204,S Godara,08/10/2001,Cambodia,,,16
2205,J D C Goddard,21/04/1919,West Indies,27,,
2206,T L Goddard,01/08/1931,South Africa,41,,
2207,T W J Goddard,01/10/1900,England,8,,
2208,O Goker,01/03/1960,Turkey,,,1
2209,G I Gokoel,20/06/1992,Suriname,,,5
2210,Golam Faruq,24/07/1962,Bangladesh,,5,
2211,G F Gomes,02/10/2003,Mozambique,,,15
2212,H A Gomes,13/07/1953,West Indies,60,83,
2213,S P Gomes,06/08/1988,Portugal,,,7
2214,G E Gomez,10/10/1919,West Indies,29,,
2215,L F Goncalves,03/02/1988,Brazil,,,3
2216,D M Gondaria,05/12/1994,Kenya,,2,14
2217,M Gony,04/01/1984,India,,2,
2218,G A Gooch,23/07/1953,England,118,125,
2219,S Gooch,10/05/1984,Estonia,,,9
2220,M W Goodwin,11/12/1972,Zimbabwe,19,71,
2221,R Goodwin,08/03/1987,Philippines,,,9
2222,Y Goonasekera,08/11/1957,Sri Lanka,2,3,
2223,F R M Goonatillake,15/08/1951,Sri Lanka,,1,
2224,H M Goonatillake,16/08/1952,Sri Lanka,5,6,
2225,M Goonetilleke,04/04/1985,Malta,,,3
2226,Gopal Thakur,13/03/1994,Malta,,,13
2227,M J Gopalan,06/06/1909,India,1,,
2228,C D Gopinath,01/03/1930,India,8,,
2229,A Gorawara,21/12/2001,Hong Kong,,,4
2230,J O A Gordon,20/01/1987,Canada,,12,17
2231,N Gordon,06/08/1911,South Africa,5,,
2232,T G Gordon,31/01/1982,Canada,,5,3
2233,K Gore,25/06/1998,United States,,16,8
2234,H Gori,10/11/1990,Czech Republic,,,11
2235,B H G Gorlee,22/02/2001,Netherlands,,3,
2236,S Goud,19/02/1984,Bahamas,,,18
2237,S Goud,20/10/1984,Czech Republic,,,1
2238,G Goudie,12/08/1987,Scotland,,16,9
2239,P B Gouge,03/02/2003,Jersey,,,4
2240,D Gough,18/09/1970,England,58,159,2
2241,E Gouka,29/01/1970,Netherlands,,3,
2242,I J Gould,19/08/1957,England,,18,
2243,A G S Gous,24/11/1993,United States,,5,23
2244,S Goustis,01/08/1981,Greece,,,3
2245,M Gouws,28/07/1982,Gibraltar,,,13
2246,A R Gover,29/02/1908,England,4,,
2247,K Govind,05/08/1984,Seychelles,,,1
2248,A Govorko,01/07/1971,Croatia,,,4
2249,D I Gower,01/04/1957,England,117,114,
2250,K Gowtham,20/10/1988,India,,1,
2251,R Gowthaman,19/06/1995,Sweden,,,5
2252,E M Grace,28/11/1841,England,1,,
2253,G F Grace,13/12/1850,England,1,,
2254,W G Grace,18/07/1848,England,22,,
2255,S F Graf,19/05/1957,Australia,,11,
2256,H Graham,22/11/1870,Australia,6,,
2257,M S Graham,27/09/1978,Bahamas,,,6
2258,R Graham,16/09/1877,South Africa,2,,
2259,V Grandia,10/01/1979,Netherlands,,1,
2260,G C Grant,09/05/1907,West Indies,12,,
2261,R S Grant,15/12/1909,West Indies,7,,
2262,J B Grassi,09/10/1998,Italy,,,6
2263,T W Graveney,16/06/1927,England,79,,
2264,A H Gray,23/05/1963,West Indies,5,25,
2265,E J Gray,18/11/1954,New Zealand,10,10,
2266,A P Grayson,31/03/1971,England,,2,
2267,M J Greatbatch,11/12/1963,New Zealand,41,84,
2268,C N Greaves,12/10/1990,Scotland,,29,30
2269,J P Greaves,26/02/1994,West Indies,5,7,1
2270,C Green,03/06/1999,Australia,28,28,13
2271,C J Green,01/10/1993,Australia,,,1
2272,Z E Green,11/10/1996,Namibia,,40,61
2273,T Greenhough,09/11/1931,England,4,,
2274,A E Greenidge,20/08/1956,West Indies,6,1,
2275,C G Greenidge,01/05/1951,West Indies,108,128,
2276,G A Greenidge,26/05/1948,West Indies,5,,
2277,A Greenwood,20/08/1847,England,2,,
2278,N A Greenwood,21/10/1999,Jersey,,5,31
2279,D W Gregory,15/04/1845,Australia,3,,
2280,E J Gregory,29/05/1839,Australia,1,,
2281,J M Gregory,14/08/1895,Australia,24,,
2282,L Gregory,24/05/1992,England,,3,9
2283,R G Gregory,28/02/1916,Australia,2,,
2284,S E Gregory,14/04/1870,Australia,58,,
2285,A W Greig,06/10/1946,England,58,22,
2286,I A Greig,08/12/1955,England,2,,
2287,M G Grell,18/12/1899,West Indies,1,,
2288,B A F Grieve,28/05/1864,England,2,,
2289,R E Grieveson,24/08/1909,South Africa,2,,
2290,G M Griffin,12/06/1939,South Africa,2,,
2291,J J Griffin,10/11/2005,Isle of Man,,,3
2292,A F G Griffith,19/11/1971,West Indies,14,9,
2293,C C Griffith,14/12/1938,West Indies,28,,
2294,H C Griffith,01/12/1893,West Indies,13,,
2295,S C Griffith,16/06/1914,England,3,,
2296,C V Grimmett,25/12/1891,Australia,37,,
2297,T R Gripper,28/12/1975,Zimbabwe,20,8,
2298,Z Groenewald,08/06/1993,Namibia,,4,10
2299,T U Groube,02/09/1857,Australia,1,,
2300,A T W Grout,30/03/1927,Australia,51,,
2301,T J G Gruitjers,28/08/1991,Netherlands,,5,8
2302,J Grzinic,27/01/1975,Croatia,,,7
2303,M Grzinic,14/12/1982,Croatia,,,3
2304,G M Guard,12/12/1925,India,2,,
2305,G Gudakesh Motie,29/03/1995,West Indies,10,22,29
2306,R D Gudhka,06/09/1989,Kenya,,2,
2307,C E J Guest,07/10/1937,Australia,1,,
2308,S Guha,31/01/1946,India,4,,
2309,Guido Angeletti,30/09/2003,Argentina,,,10
2310,S C Guillen,24/09/1924,New Zealand,8,,
2311,Guillermo Aburto,29/02/1984,Chile,,,2
2312,Gul Mahomed,15/10/1921,India,9,,
2313,Gulbadin Naib,16/03/1991,Afghanistan,,86,75
2314,J Gumbie,25/12/1995,Zimbabwe,3,16,3
2315,D Gumyusenge,10/09/2003,Rwanda,,,17
2316,A C K Gunarathne,22/10/1981,Cambodia,,,3
2317,D A S Gunaratne,08/01/1986,Sri Lanka,6,31,12
2318,P W Gunaratne,27/09/1973,Sri Lanka,,23,
2319,C D Gunasekara,25/11/1999,Sri Lanka,1,1,
2320,R Gunasekera,20/07/1991,Canada,,19,8
2321,M D Gunathilaka,17/03/1991,Sri Lanka,8,47,46
2322,A A W Gunawardene,31/03/1969,Sri Lanka,,1,
2323,D A Gunawardene,26/05/1977,Sri Lanka,6,61,
